"Year","Month","Element","Day","DecYear","UKE00105875","UKE00105884","UKE00105886","UKE00105887","UKE00105888","UKE00105930"
1960,2,"TMIN",10,1960.10928961749,-4.4,-2.8,-0.6,-1.1,0.6,-1.7
1960,2,"TMIN",11,1960.11202185792,-3.9,-1.1,-2.8,-1.7,-0.6,-3.3
1960,2,"TMIN",12,1960.11475409836,-5.6,-1.7,-4.4,-2.8,-1.1,-2.8
1960,2,"TMIN",13,1960.1174863388,-11.7,-3.3,-3.9,-1.7,-1.7,-2.2
1960,2,"TMIN",14,1960.12021857923,-12.2,-3.9,-6.1,-8.9,-5.6,-4.4
1960,2,"TMIN",15,1960.12295081967,-3.3,-2.2,-3.9,-3.9,-2.8,0.6
1960,2,"TMIN",16,1960.12568306011,-2.2,-2.2,0,-2.2,-1.7,0.6
1960,2,"TMIN",18,1960.13114754098,-15.6,-6.7,-6.1,-8.3,-5,-2.8
1960,2,"TMIN",19,1960.13387978142,-12.2,-8.3,-6.1,-6.1,-3.9,-7.8
1960,2,"TMIN",20,1960.13661202186,-8.3,-7.8,-5,-5.6,-3.3,-7.2
1960,2,"TMIN",21,1960.1393442623,-8.9,-0.6,-3.3,-2.2,-1.7,-1.7
1960,2,"TMIN",22,1960.14207650273,-7.8,-3.9,-3.9,-2.8,-2.8,-1.7
1960,2,"TMIN",23,1960.14480874317,-13.3,-5.6,-4.4,-9.4,-5,-3.3
1960,2,"TMIN",24,1960.14754098361,-10.6,-3.3,-2.8,-5.6,-3.9,-0.6
1960,2,"TMIN",25,1960.15027322404,-4.4,0.6,-0.6,-2.2,-1.1,1.1
1960,2,"TMIN",27,1960.15573770492,-0.6,0,1.1,-0.6,-0.6,0.6
1960,2,"TMIN",29,1960.16120218579,2.8,4.4,5.6,5.6,6.1,6.1
1960,3,"TMIN",2,1960.16666666667,-0.6,3.9,2.8,3.3,3.9,6.1
1960,3,"TMIN",3,1960.1693989071,0.6,3.9,3.3,3.3,5,5
1960,3,"TMIN",4,1960.17213114754,-5.6,-1.1,-1.1,-1.7,-1.7,-1.7
1960,3,"TMIN",5,1960.17486338798,-1.1,0.6,1.1,-0.6,0.6,1.1
1960,3,"TMIN",9,1960.18579234973,-5,-4.4,-2.2,-3.9,-2.8,-1.7
1960,3,"TMIN",10,1960.18852459016,-3.9,-1.7,-0.6,-1.1,0.6,0
1960,3,"TMIN",11,1960.1912568306,1.1,2.8,3.9,2.8,3.9,4.4
1960,3,"TMIN",12,1960.19398907104,0.6,2.2,3.9,2.2,3.9,3.9
1960,3,"TMIN",13,1960.19672131148,1.1,3.3,4.4,2.2,3.9,3.9
1960,3,"TMIN",15,1960.20218579235,3.3,5,5.6,5,5,6.7
1960,3,"TMIN",16,1960.20491803279,1.7,3.3,5,3.9,4.4,5.6
1960,3,"TMIN",17,1960.20765027322,2.2,3.3,4.4,3.3,4.4,5
1960,3,"TMIN",18,1960.21038251366,-0.6,1.7,2.8,0.6,2.2,2.2
1960,3,"TMIN",19,1960.2131147541,1.1,2.2,2.8,1.1,3.3,2.8
1960,3,"TMIN",20,1960.21584699454,1.7,2.8,3.3,3.3,3.9,3.3
1960,3,"TMIN",21,1960.21857923497,2.8,3.3,3.3,2.2,3.3,3.9
1960,3,"TMIN",22,1960.22131147541,0,2.2,0.6,-1.1,0.6,2.8
1960,3,"TMIN",23,1960.22404371585,-3.9,2.2,0,0,1.1,2.2
1960,3,"TMIN",24,1960.22677595628,-1.7,2.2,3.9,-1.7,0.6,3.9
1960,3,"TMIN",26,1960.23224043716,1.7,2.2,4.4,3.3,4.4,2.2
1960,3,"TMIN",27,1960.2349726776,-2.8,0,1.1,1.7,2.8,-1.7
1960,3,"TMIN",28,1960.23770491803,0.6,2.8,2.8,2.2,3.9,2.8
